2026-08-18 00:30:53 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | [run] start Fixed-α=0.5 long/short fusion baseline (subsample)
2026-08-18 00:30:53 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | [data] subsample_loaded {'train': 39943, 'val': 11693, 'test': 81724}
2026-08-18 00:30:53 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | [model] train_start 32158 items
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric train_loss[train]=4.620534775962292 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric train_examples[train]=35872 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | [model] train_done device=cuda
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric ndcg_at_k[val]=0.003263015765696764 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric recall_at_k[val]=0.007233434356749058 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric hit_rate_at_k[val]=0.007233434356749058 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric mrr[val]=0.002530797617509961 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric ndcg_at_k_seen[val]=0.01446526105311402 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric hit_rate_at_k_seen[val]=0.032066508313539195 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric n_scored[val]=11198 step=0
2026-08-18 00:31:00 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric n_seen_target[val]=2526 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric ndcg_at_k[test]=0.003014845075085759 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric recall_at_k[test]=0.006053057499229908 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric hit_rate_at_k[test]=0.006053057499229908 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric mrr[test]=0.002509509911760688 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric ndcg_at_k_seen[test]=0.01551579515197844 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric hit_rate_at_k_seen[test]=0.031151849240433304 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric n_scored[test]=80290 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | metric n_seen_target[test]=15601 step=0
2026-08-18 00:31:02 | INFO     | lab.20260817-223053__phase3-baseline-fixed-alpha | [run] end completed
