2026-08-19 08:56:51 | INFO     | lab.20260819-065651__phase7-inject-drift | [run] start Controlled sudden/gradual/recurring preference shifts + sanity
2026-08-19 08:56:51 | INFO     | lab.20260819-065651__phase7-inject-drift | [injection] saved sudden -> injected_sudden.parquet
2026-08-19 08:56:51 | INFO     | lab.20260819-065651__phase7-inject-drift | metric injected_users[all]=300 step=0
2026-08-19 08:56:55 | INFO     | lab.20260819-065651__phase7-inject-drift | metric detection_rate[all]=0.04666666666666667 step=0
2026-08-19 08:56:55 | INFO     | lab.20260819-065651__phase7-inject-drift | metric false_alarm_rate[all]=0.006666666666666667 step=0
2026-08-19 08:56:55 | INFO     | lab.20260819-065651__phase7-inject-drift | metric median_detection_latency[all]=10.0 step=0
2026-08-19 08:56:55 | INFO     | lab.20260819-065651__phase7-inject-drift | [report] figure_saved injection-sudden.png
2026-08-19 08:56:56 | INFO     | lab.20260819-065651__phase7-inject-drift | [injection] saved gradual -> injected_gradual.parquet
2026-08-19 08:56:56 | INFO     | lab.20260819-065651__phase7-inject-drift | metric injected_users[all]=300 step=0
2026-08-19 08:57:00 | INFO     | lab.20260819-065651__phase7-inject-drift | metric detection_rate[all]=0.04 step=0
2026-08-19 08:57:00 | INFO     | lab.20260819-065651__phase7-inject-drift | metric false_alarm_rate[all]=0.006666666666666667 step=0
2026-08-19 08:57:00 | INFO     | lab.20260819-065651__phase7-inject-drift | metric median_detection_latency[all]=9.5 step=0
2026-08-19 08:57:00 | INFO     | lab.20260819-065651__phase7-inject-drift | [report] figure_saved injection-gradual.png
2026-08-19 08:57:01 | INFO     | lab.20260819-065651__phase7-inject-drift | [injection] saved recurring -> injected_recurring.parquet
2026-08-19 08:57:01 | INFO     | lab.20260819-065651__phase7-inject-drift | metric injected_users[all]=300 step=0
2026-08-19 08:57:06 | INFO     | lab.20260819-065651__phase7-inject-drift | metric detection_rate[all]=0.05333333333333334 step=0
2026-08-19 08:57:06 | INFO     | lab.20260819-065651__phase7-inject-drift | metric false_alarm_rate[all]=0.006666666666666667 step=0
2026-08-19 08:57:06 | INFO     | lab.20260819-065651__phase7-inject-drift | metric median_detection_latency[all]=10.0 step=0
2026-08-19 08:57:06 | INFO     | lab.20260819-065651__phase7-inject-drift | [report] figure_saved injection-recurring.png
2026-08-19 08:57:06 | INFO     | lab.20260819-065651__phase7-inject-drift | [run] end completed
