timestamp,level,stage,event,detail
2026-08-25T16:37:19.145624+00:00,INFO,run,start,Controlled sudden/gradual/recurring preference shifts + sanity
2026-08-25T16:37:19.237286+00:00,INFO,injection,saved,sudden -> injected_sudden.parquet
2026-08-25T16:37:20.895348+00:00,INFO,report,figure_saved,injection-sudden.png
2026-08-25T16:37:20.981473+00:00,INFO,injection,saved,gradual -> injected_gradual.parquet
2026-08-25T16:37:22.527271+00:00,INFO,report,figure_saved,injection-gradual.png
2026-08-25T16:37:22.613116+00:00,INFO,injection,saved,recurring -> injected_recurring.parquet
2026-08-25T16:37:24.187841+00:00,INFO,report,figure_saved,injection-recurring.png
2026-08-25T16:37:24.187841+00:00,INFO,run,end,completed
