2026-08-19 09:08:30 | INFO     | lab.20260819-070830__phase8-full-evaluation | [run] start Control vs injected; baselines A/B/D vs proposed; recovery curves
2026-08-19 09:08:30 | INFO     | lab.20260819-070830__phase8-full-evaluation | [evaluation] scenario_start sudden
2026-08-19 09:08:45 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:08:45 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.0 step=0
2026-08-19 09:08:45 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:08:45 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.0 step=0
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.0 step=0
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.0 step=0
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | [report] figure_saved recovery-full-sudden.png
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | [report] figure_saved recovery-detected-sudden.png
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric detection_rate[all]=0.03666666666666667 step=0
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric detected_users[all]=11 step=0
2026-08-19 09:08:46 | INFO     | lab.20260819-070830__phase8-full-evaluation | [evaluation] scenario_start gradual
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=8.0 step=0
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.011363636363636364 step=0
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.011363636363636364 step=0
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=5.0 step=0
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.022727272727272728 step=0
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.011363636363636364 step=0
2026-08-19 09:09:05 | INFO     | lab.20260819-070830__phase8-full-evaluation | [report] figure_saved recovery-full-gradual.png
2026-08-19 09:09:06 | INFO     | lab.20260819-070830__phase8-full-evaluation | [report] figure_saved recovery-detected-gradual.png
2026-08-19 09:09:06 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric detection_rate[all]=0.03666666666666667 step=0
2026-08-19 09:09:06 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric detected_users[all]=11 step=0
2026-08-19 09:09:06 | INFO     | lab.20260819-070830__phase8-full-evaluation | [evaluation] scenario_start recurring
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.0 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.0 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.0 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric degradation_detected[all]=0.0 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | [report] figure_saved recovery-full-recurring.png
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | [report] figure_saved recovery-detected-recurring.png
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric detection_rate[all]=0.03666666666666667 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | metric detected_users[all]=11 step=0
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | [report] table_saved policy-scenario-summary.csv
2026-08-19 09:09:25 | INFO     | lab.20260819-070830__phase8-full-evaluation | [run] end completed
